instrument,name,Year,q,ESGscore,Firm_Size,Leverage
META,Meta Platforms Inc,2014,5.436366215409118,32.3819653284139,10.601224185429881,0.006455008865248227
META,Meta Platforms Inc,2015,6.033005444572631,32.3819653284139,10.807847393542318,0.007123795739291691
META,Meta Platforms Inc,2016,5.123637259278643,35.1594550750566,11.081542368805742,0.0018920836571274116
META,Meta Platforms Inc,2017,6.067682078462922,53.4324374552765,11.344790796686818,0.0009684318129850565
META,Meta Platforms Inc,2018,3.848920829309388,43.1245117529072,11.485903641873922,0.005943395105019791
META,Meta Platforms Inc,2019,4.47192148512476,48.791397954311,11.80092748623293,0.10958497437013874
META,Meta Platforms Inc,2020,4.954994099776545,48.791397954311,11.978644930276912,0.08712292462389898
META,Meta Platforms Inc,2021,5.641341490598662,64.320806191607,12.019664751019025,0.11574404023094355
META,Meta Platforms Inc,2022,1.8405873136377586,64.320806191607,12.132033132571529,0.21698631008726227
META,Meta Platforms Inc,2023,4.1128961820026735,66.793085205659,12.344194112626475,0.24759740938054947
MSFT,Microsoft Corp,2002,4.333401827159034,30.6836703611165,11.122043503986808,0.0
MSFT,Microsoft Corp,2003,3.470717221098139,21.2910777960741,11.284404983843194,0.0
MSFT,Microsoft Corp,2004,3.35774518611523,49.7289963492263,11.433763202923998,0.0
MSFT,Microsoft Corp,2006,3.3686020949178843,50.5082080963766,11.150476741945255,0.0
MSFT,Microsoft Corp,2007,4.375878171945987,82.0561648257371,11.05360061406664,0.0
MSFT,Microsoft Corp,2008,3.4583683870701853,85.6857823223308,11.195375075715546,0.000027558838119384888
MSFT,Microsoft Corp,2009,2.7924989728841414,88.4736788898809,11.2630271763472,0.14558369988371506
MSFT,Microsoft Corp,2010,2.3851181586984547,92.5964563370852,11.363415666242556,0.12861938278289117
MSFT,Microsoft Corp,2011,2.113050117750957,92.5305898620164,11.596383870960311,0.2088362559781371
MSFT,Microsoft Corp,2012,2.2125552687781913,88.011511206242,11.705782989679344,0.1799798080255564
MSFT,Microsoft Corp,2013,2.1293872822629907,92.282546935224,11.866612950896753,0.19760843129306851
MSFT,Microsoft Corp,2014,2.1243926350473363,92.388173236897,12.05747982548026,0.2522164305444177
MSFT,Microsoft Corp,2015,2.211312087525465,92.8375022887709,12.079505517450139,0.44069278123946404
MSFT,Microsoft Corp,2016,2.3439464309684346,91.2886149253839,12.174034873179655,0.7566009694848397
MSFT,Microsoft Corp,2017,2.5717770422173003,90.5904884626842,12.392908995291261,1.2253363538414785
MSFT,Microsoft Corp,2018,3.2626752766102114,93.0349899821091,12.46399629581768,1.057907589641916
MSFT,Microsoft Corp,2019,3.8746746883680676,92.8891422196911,12.565689258514816,0.8448646535717775
MSFT,Microsoft Corp,2020,5.386076877379186,93.2349923650491,12.6158982329153,0.6940593724641602
MSFT,Microsoft Corp,2021,6.349036638014973,92.7072754728029,12.718234376307526,0.5794715046341944
MSFT,Microsoft Corp,2022,5.469189562547966,88.1144888790014,12.807214180294094,0.4707521225876956
MSFT,Microsoft Corp,2023,6.336131910596735,88.1144888790014,12.92872037420774,0.3852189135062529
NVDA,NVIDIA Corp,2001,6.746638260108278,13.9664468081432,7.315334151515397,0.405537175692147
NVDA,NVIDIA Corp,2002,1.1990914122627183,17.8427249332151,7.388337135971929,0.3329691525667239
NVDA,NVIDIA Corp,2003,2.6134528035994005,21.6079989042597,7.243758834360881,0.004633818024420059
NVDA,NVIDIA Corp,2004,2.3521486783221253,15.8080268842601,7.395436730704678,0.0007264900684733863
NVDA,NVIDIA Corp,2005,3.9441639096182666,22.0484955235118,7.5779853572999345,0.0
NVDA,NVIDIA Corp,2006,4.13578509851181,39.5661214786115,7.891802972254243,0.0
NVDA,NVIDIA Corp,2007,3.655373745454177,46.7320840467729,8.228889859355997,0.0
NVDA,NVIDIA Corp,2008,1.285490268231342,43.6696297555761,8.116932616200152,0.011092217157232033
NVDA,NVIDIA Corp,2009,2.4168415842191595,60.6981498277802,8.184769787199782,0.009618256451818666
NVDA,NVIDIA Corp,2010,3.1373861452743634,57.0155011719067,8.410775672883199,0.00787782472335046
NVDA,NVIDIA Corp,2011,1.6325650305568522,63.4779395128366,8.622080635193205,0.005657636639583339
NVDA,NVIDIA Corp,2012,1.1825553390427221,75.8774458755888,8.765964722606462,0.004433992729047334
NVDA,NVIDIA Corp,2013,1.4197345734194982,78.289599167793,8.888880050591453,0.3089472708676379
NVDA,NVIDIA Corp,2014,1.6478669282003084,74.4622534029113,8.882026286956433,0.31730369204763625
NVDA,NVIDIA Corp,2015,2.335184531886024,73.309865963153,8.905172985183382,0.3184157529648691
NVDA,NVIDIA Corp,2016,6.773630728584494,77.0238618298845,9.194312610898985,0.4840333217632766
NVDA,NVIDIA Corp,2017,13.428947602526467,75.7607610407699,9.327323087461798,0.26770178021683844
NVDA,NVIDIA Corp,2018,6.703317785133915,74.5152098382072,9.494917629474484,0.21280239777349605
NVDA,NVIDIA Corp,2019,8.509278660121282,79.335293068066,9.759328456836522,0.2165683382497542
NVDA,NVIDIA Corp,2020,11.45718453683443,77.327836276495,10.267818117285737,0.4568756289587403
NVDA,NVIDIA Corp,2021,14.154619231900787,76.0763846994512,10.696185907157652,0.44457387644671575
NVDA,NVIDIA Corp,2022,11.991001408382303,75.2963674149544,10.625756546668091,0.5443645083932853
NVDA,NVIDIA Corp,2023,23.233344693281403,75.2963674149544,11.09328029328823,0.25724789427148775
TSLA,Tesla Inc,2011,4.5771027461006275,22.2318973052953,6.570109554092817,1.2504095159454576
TSLA,Tesla Inc,2012,3.890803345928432,24.0282878292481,7.015882962497076,3.742309542902967
TSLA,Tesla Inc,2013,7.912241578779691,26.6143321092355,7.790253418761542,0.9096984050845426
TSLA,Tesla Inc,2014,5.1945370578215915,28.1336469047849,8.674068897840792,2.665192879314694
TSLA,Tesla Inc,2015,4.228239033618949,27.6606337160527,8.998688042939866,2.4551684935129816
TSLA,Tesla Inc,2016,1.8434463461029693,31.295131425301,10.028536394840417,1.5266513511403852
TSLA,Tesla Inc,2017,2.1987170834843814,38.3099264096528,10.263096208929142,2.4662528125606227
TSLA,Tesla Inc,2018,2.3378176125621537,47.9233305804764,10.30023524077726,2.4543811873596324
TSLA,Tesla Inc,2019,2.635306479349442,56.8960782954018,10.443162989406174,2.2207615593834995
TSLA,Tesla Inc,2020,13.24672470660428,62.1563616687891,10.86184110878267,0.6005399325084364
TSLA,Tesla Inc,2021,17.713005424023436,63.1870938707065,11.037000338212293,0.2939150021531021
TSLA,Tesla Inc,2022,4.8032441885885016,69.8437356530616,11.318588005497688,0.12857909806728704
TSLA,Tesla Inc,2023,7.512632013356093,69.8437356530616,11.5770076319941,0.15284031037455695
